,state,name,energy_consum_per_cap_mil_btu,pop_density,democrat,republican,weather,household_income,income_stderr,WhiteTotalPerc,BlackTotalPerc,IndianTotalPerc,AsianTotalPerc,HawaiianTotalPerc,OtherTotalPerc,HispanicPerc,PercentHighSchoolOrHigher,PercentBachelorsOrHigher,Children_0-18,Adults_19-25,Adults_26-34,Adults_35-54,Adults_55-64,Adults_Over_65,home_broadband
25,MO,Missouri,294,89.5,0.4140878173618836,0.5679965577888949,443.0,61726,2442,0.8216,0.1149,0.0044,0.0198,0.0013,0.038,0.041699999999999994,90.0,29.0,0.236,0.085,0.121,0.246,0.139,0.172,83.9
26,MT,Montana,417,7.4,0.4054936936160908,0.5691846924002028,552.0,57679,2876,0.8854,0.005,0.0636,0.0079,0.0008,0.0373,0.038400000000000004,94.0,32.0,0.226,0.085,0.114,0.236,0.143,0.196,84.4
27,NE,Nebraska,466,25.5,0.39166630941787967,0.5822416333205421,492.7,67575,3933,0.8706,0.0483,0.0092,0.0238,0.0007,0.0473,0.10869999999999999,91.0,32.0,0.26,0.088,0.122,0.24,0.129,0.162,86.3
28,NV,Nevada,250,28.3,0.5005678195728402,0.4766624732455941,362.3,61864,2116,0.6559,0.0912,0.0128,0.0815,0.0067,0.1518,0.2871,87.0,25.0,0.235,0.083,0.131,0.262,0.126,0.163,85.0
29,NH,New Hampshire,235,153.8,0.5270782528014766,0.45356259504677604,497.7,81346,3394,0.9288,0.016,0.0015,0.0268,0.0003,0.0265,0.037599999999999995,93.0,37.0,0.201,0.078,0.115,0.258,0.163,0.186,88.5
30,NJ,New Jersey,236,"1,263.00",0.5733419675281298,0.41396523857348505,410.5,74176,2845,0.6778,0.1346,0.0022,0.0946,0.0004,0.0904,0.20209999999999997,90.0,40.0,0.23,0.082,0.117,0.267,0.139,0.165,88.5
31,NM,New Mexico,350,17.5,0.5428928584957222,0.43496669246129455,400.6,48283,2202,0.7481,0.0211,0.0955,0.0156,0.0008,0.119,0.48779999999999996,86.0,27.0,0.24,0.09,0.117,0.238,0.132,0.183,77.9
32,NY,New York,198,428.7,0.603918845358349,0.3746129384009093,408.4,67274,1722,0.6366,0.1566,0.0041,0.0842,0.0005,0.1181,0.1901,87.0,37.0,0.217,0.086,0.134,0.257,0.136,0.169,85.3
33,NC,North Carolina,253,214.7,0.4858621177736324,0.4993433248829551,336.8,53369,1761,0.6868,0.2144,0.0121,0.0285,0.0007,0.0575,0.0938,88.0,31.0,0.235,0.086,0.118,0.26,0.133,0.169,84.5
34,ND,North Dakota,875,11.3,0.31756762359080093,0.6511404873707572,672.8,66505,3095,0.8658,0.0291,0.0529,0.0145,0.0011,0.0366,0.0374,93.0,30.0,0.245,0.102,0.137,0.232,0.128,0.156,83.2
35,OH,Ohio,311,288.8,0.45239338340705026,0.5327130010087464,444.6,61633,2254,0.813,0.1241,0.002,0.0222,0.0003,0.0385,0.038,90.0,28.0,0.234,0.085,0.119,0.248,0.14,0.174,84.6
36,OK,Oklahoma,423,57.7,0.32286174335986634,0.6537327184806295,378.2,54434,2774,0.7232,0.0728,0.0762,0.0217,0.0016,0.1046,0.1063,88.0,26.0,0.256,0.091,0.123,0.242,0.127,0.16,82.8
37,OR,Oregon,244,44.1,0.5645331865404888,0.4036724604634335,368.4,69165,3655,0.8429,0.0191,0.0116,0.0437,0.004,0.0787,0.13,91.0,34.0,0.214,0.084,0.128,0.261,0.129,0.183,88.5
38,PA,Pennsylvania,298,290.6,0.5000849567544814,0.4884361204017247,405.1,64524,1635,0.8053,0.1118,0.0019,0.0341,0.0003,0.0465,0.0731,91.0,31.0,0.219,0.079,0.123,0.248,0.145,0.187,84.7
39,RI,Rhode Island,180,"1,061.40",0.5947619876593357,0.38670380471575855,446.5,62266,3348,0.8046,0.0677,0.005,0.034,0.0008,0.088,0.1543,89.0,34.0,0.207,0.088,0.127,0.253,0.148,0.178,86.6
40,SC,South Carolina,316,170.2,0.43416838497813925,0.5509348091719648,281.4,57444,2082,0.6716,0.2677,0.0035,0.0157,0.0008,0.0407,0.05680000000000001,88.0,28.0,0.23,0.082,0.116,0.249,0.138,0.184,82.0
41,SD,South Dakota,453,11.7,0.3560525213613529,0.6176938967225024,574.9,59463,2642,0.8427,0.0201,0.0875,0.0145,0.0006,0.0345,0.038,92.0,29.0,0.257,0.082,0.115,0.235,0.136,0.174,84.4
42,TN,Tennessee,318,167.6,0.37451434271023704,0.6066029416628381,361.9,56060,1442,0.7758,0.1676,0.0027,0.0175,0.0006,0.0358,0.0544,88.0,27.0,0.235,0.086,0.124,0.254,0.134,0.167,82.1
43,TX,Texas,491,111.6,0.4647900991387051,0.5205760360355265,282.1,59785,1372,0.7397,0.1213,0.005,0.048,0.0009,0.0851,0.3933,84.0,30.0,0.272,0.094,0.13,0.261,0.114,0.129,85.5
44,UT,Utah,267,39.7,0.37646048583306063,0.5812983902991959,463.7,77067,2327,0.8643,0.0119,0.0109,0.0232,0.0089,0.0808,0.1404,92.0,34.0,0.308,0.109,0.132,0.242,0.095,0.115,90.4
45,VT,Vermont,219,69.8,0.6545578055250049,0.3038105712622113,544.4,70066,2350,0.9416,0.0136,0.0034,0.0168,0.0005,0.024,0.0193,93.0,38.0,0.195,0.086,0.111,0.247,0.158,0.204,82.6
46,VA,Virginia,283,218.6,0.5410951717780242,0.4399550366728214,324.4,77151,3086,0.6763,0.1918,0.0028,0.064,0.0007,0.0644,0.0937,90.0,39.0,0.234,0.084,0.12,0.265,0.135,0.163,86.1
47,WA,Washington,273,115.9,0.5797030113530306,0.3876697774334327,367.1,79726,3025,0.7538,0.038,0.0128,0.0853,0.0066,0.1035,0.1267,91.0,36.0,0.23,0.084,0.138,0.26,0.129,0.16,90.7
48,WV,West Virginia,461,74.6,0.29696521244519614,0.6863155192461606,431.9,50573,1337,0.9308,0.0369,0.002,0.008,0.0002,0.0221,0.015499999999999998,87.0,21.0,0.212,0.081,0.105,0.251,0.146,0.205,79.7
49,WI,Wisconsin,317,108.8,0.4944953686142774,0.48822437319608825,500.8,62629,2039,0.8543,0.0641,0.0089,0.0279,0.0004,0.0444,0.06820000000000001,92.0,30.0,0.23,0.085,0.116,0.251,0.143,0.175,85.3
50,WY,Wyoming,932,5.9,0.26387866557990397,0.6949978994840271,627.6,62539,3892,0.9144,0.0096,0.0244,0.0086,0.001,0.0419,0.09870000000000002,93.0,27.0,0.251,0.083,0.117,0.242,0.135,0.172,86.9
